text,label
"Invoice number 001 from March with total amount of $5000 for consulting services",invoice
"Lease agreement valid for 12 months starting from 2024-03-01",contract
"Email confirmation: Your payment of $3200 has been received successfully",email
"Monthly sales report: Total invoiced $50000 in March",report
"INVOICE - Vendor: Acme Inc - Description: Licenses - Amount: $2000",invoice
"Confidential agreement between company A and company B valid for 3 years",contract
"Message: Dear customer your order has been shipped",email
"Quarterly analysis of expenses by department and Q2 projections",report
"INV-2024-0315 - For professional services - Total due $7500",invoice
"Terms and conditions for technology services contracting",contract
"Notification of account status change",email
"Executive summary of March 2024 operations",report
"Electronic invoice - Client: Tech Solutions - Amount: $4200",invoice
"Legal document: Power of attorney for legal representation",contract
"Your payment has been processed. Reference: PAY-2024-001",email
"Dashboard of KPIs: Revenue, expenses, profitability by business line",report
"Invoice for software development services rendered in March",invoice
"Service agreement and maintenance contract for 24 months",contract
"Your subscription has been renewed for the next billing period",email
"Financial performance analysis and budget forecast for next quarter",report